AGE,SEX,YEAR.MEASURED,GLASSES,HANDED,RANK,HEIGHT,WEIGHT
22,M,87,NEITHER,1,1,1.692,71.3
23,M,87,NEITHER,1,2,1.72,70.5
25,M,87,NEITHER,1,1,1.727,62.1
25,M,87,NEITHER,2,1,1.749,82.7
22,M,87,NEITHER,2,1,1.693,78.7
20,M,87,NEITHER,2,1,1.647,56.5
22,M,87,NEITHER,1,1,1.794,84
20,M,87,NEITHER,1,1,1.726,70.4
25,M,87,NEITHER,1,2,1.736,63.9
25,M,87,NEITHER,1,1,1.649,65.5
25,M,87,NEITHER,1,2,1.737,77
22,M,87,GLASSES,1,1,1.615,62.6
20,M,87,NEITHER,1,1,1.694,77.3
25,M,87,NEITHER,1,2,1.577,85.5
25,M,87,BOTH,2,2,1.793,84
28,M,87,NEITHER,1,2,1.808,94.6
25,M,87,NEITHER,2,1,1.74,84.3
22,M,87,NEITHER,1,1,1.829,77.7
21,M,87,BOTH,1,1,1.652,64.3
27,M,87,NEITHER,1,1,1.763,76
21,M,87,NEITHER,1,1,1.725,68.8
20,M,87,NEITHER,1,1,1.782,82.2
29,M,87,NEITHER,1,4,1.796,82.2
25,M,87,NEITHER,2,1,1.814,93.3
21,M,87,NEITHER,1,1,1.7,78.8
20,M,87,NEITHER,1,1,1.746,65.8
21,M,87,NEITHER,1,1,1.746,75.4
28,M,87,NEITHER,1,2,1.876,77.7
20,M,87,NEITHER,1,1,1.82,71.9
22,M,87,NEITHER,1,1,1.798,79
27,M,87,NEITHER,1,1,1.66,70.3
21,M,87,GLASSES,1,1,1.677,59.7
23,M,87,NEITHER,1,2,1.714,77.2
23,M,87,NEITHER,1,1,1.682,68.5
24,M,87,NEITHER,1,2,1.57,55
29,M,87,NEITHER,1,1,1.784,83.7
22,M,87,NEITHER,1,1,1.658,69.7
22,M,87,NEITHER,1,1,1.772,68.5
26,M,87,BOTH,2,2,1.66,62
22,M,87,NEITHER,1,1,1.643,57.2
28,M,87,NEITHER,1,1,1.652,84.1
21,M,87,NEITHER,1,1,1.798,80.3
26,M,87,NEITHER,1,2,1.753,86.4
26,M,87,NEITHER,1,2,1.717,69.4
23,M,87,GLASSES,1,1,1.779,65.3
24,M,87,GLASSES,1,1,1.717,85.2
28,M,87,NEITHER,1,2,1.703,70.9
22,M,87,NEITHER,2,2,1.744,74.4
29,M,87,GLASSES,1,4,1.885,98.8
22,M,87,NEITHER,1,1,1.753,77.1
27,M,87,NEITHER,1,2,1.706,65.6
22,M,87,NEITHER,1,2,1.741,65.4
22,M,87,NEITHER,1,1,1.782,79.2
20,M,87,GLASSES,1,1,1.683,70.8
20,M,87,NEITHER,1,1,2.012,84.6
25,M,87,NEITHER,1,2,1.744,88
22,M,87,NEITHER,1,1,1.872,93.2
24,M,87,NEITHER,2,1,1.867,71.3
21,M,87,GLASSES,1,1,1.877,106.5
25,M,87,NEITHER,1,2,1.828,70.5
22,M,87,GLASSES,1,1,1.694,66.9
20,M,87,NEITHER,2,1,1.818,70.9
27,M,87,NEITHER,1,1,1.705,56.2
24,M,87,NEITHER,1,1,1.678,74.2
23,M,87,NEITHER,1,1,1.642,72.9
20,M,87,NEITHER,2,1,1.763,71
24,M,87,NEITHER,1,1,1.79,76.1
20,M,87,BOTH,1,1,1.935,100.3
24,M,87,GLASSES,1,2,1.796,82.2
26,M,87,NEITHER,1,2,1.765,101.6
29,M,87,NEITHER,2,2,1.765,71.4
22,M,87,NEITHER,1,1,1.825,87.9
27,M,87,NEITHER,2,2,1.88,83.3
26,M,87,NEITHER,1,1,1.673,52.3
21,M,87,GLASSES,1,1,1.778,88.7
24,M,87,NEITHER,1,4,1.685,65.7
21,M,87,GLASSES,2,1,1.73,85.1
23,M,87,NEITHER,1,1,1.672,66.3
24,M,87,NEITHER,1,2,1.749,75.4
22,M,87,GLASSES,1,1,1.762,88.8
23,M,87,NEITHER,1,2,1.765,63.3
26,M,87,GLASSES,1,1,1.892,81.5
21,M,87,NEITHER,1,2,1.823,85.6
27,M,87,NEITHER,1,1,1.723,80.1
29,M,87,NEITHER,1,2,1.748,71.1
21,M,87,NEITHER,1,1,1.724,88
25,M,87,BOTH,1,1,1.715,54.2
21,M,87,NEITHER,1,1,1.807,72.4
24,M,87,NEITHER,1,1,1.705,64
26,M,87,NEITHER,1,2,1.813,85.6
20,M,87,NEITHER,1,1,1.656,60.8
20,M,87,GLASSES,1,1,1.817,80
20,M,87,NEITHER,1,1,1.857,90.8
21,M,87,NEITHER,1,1,1.687,80.8
24,M,87,NEITHER,2,1,1.792,71.3
29,M,87,NEITHER,1,2,1.799,74.1
23,M,87,NEITHER,1,1,1.657,82.4
24,M,87,NEITHER,1,1,1.718,81.6
26,M,87,NEITHER,1,1,1.726,70.9
29,M,87,BOTH,1,1,1.763,68.7
27,M,87,NEITHER,1,1,1.697,93.4
23,M,87,NEITHER,1,1,1.818,81.9
29,M,87,BOTH,1,1,1.707,76.4
23,M,87,GLASSES,1,1,1.827,79.9
29,M,87,NEITHER,1,1,1.757,68.1
26,M,87,NEITHER,1,1,1.741,78
28,M,87,GLASSES,1,1,1.762,86.6
20,M,87,NEITHER,1,1,1.814,85.4
24,M,87,NEITHER,1,1,1.762,86.3
